Employee Number,First Name,Last Name,Date,Hours Worked
101,Alice,Johnson,11/04/2024,8.4
102,Bob,Smith,11/04/2024,9.5
103,Charlie,Brown,11/04/2024,8.5
104,David,Wilson,11/04/2024,8.5
105,Emma,Davis,11/04/2024,9.2
101,Alice,Johnson,11/05/2024,9.4
102,Bob,Smith,11/05/2024,7.7
103,Charlie,Brown,11/05/2024,4.3
104,David,Wilson,11/05/2024,5.7
105,Emma,Davis,11/05/2024,9.6
101,Alice,Johnson,11/06/2024,6.8
102,Bob,Smith,11/06/2024,6
103,Charlie,Brown,11/06/2024,5.3
104,David,Wilson,11/06/2024,6.6
105,Emma,Davis,11/06/2024,5.9
101,Alice,Johnson,11/07/2024,6.7
102,Bob,Smith,11/07/2024,7.9
103,Charlie,Brown,11/07/2024,9.3
104,David,Wilson,11/07/2024,9
105,Emma,Davis,11/07/2024,9.6
101,Alice,Johnson,11/08/2024,4.4
102,Bob,Smith,11/08/2024,6.8
103,Charlie,Brown,11/08/2024,7
104,David,Wilson,11/08/2024,8.6
105,Emma,Davis,11/08/2024,9.6
102,Bob,Smith,11/09/2024,5.6
104,David,Wilson,11/10/2024,5
101,Alice,Johnson,11/11/2024,4.7
102,Bob,Smith,11/11/2024,8.4
103,Charlie,Brown,11/11/2024,5.2
104,David,Wilson,11/11/2024,SEVen
105,Emma,Davis,11/11/2024,8.6
101,Alice,Johnson,11/12/2024,4.6
102,Bob,Smith,11/12/2024,6.6
103,Charlie,Brown,11/12/2024,5.3
104,David,Wilson,11/12/2024,5.7
105,Emma,Davis,11/12/2024,7.2
101,Alice,Johnson,11/13/2024,6.3
102,Bob,Smith,11/13/2024,7.4
103,Charlie,Brown,11/13/2025,8.4
104,David,Wilson,11/13/2024,9.6
105,Emma,Davis,11/13/2024,8.4
101,Alice,Johnson,11/14/2024,9.5
102,Bob,Smith,11/14/2024,6.1
103,Charlie,Brown,11/14/2024,4.9
104,David,Wilson,11/14/2024,8.9
105,Emma,Davis,11/14/2024,7.4
101,Alice,Johnson,11/15/2024,5.1
102,Bob,Smith,11/15/2024,9.8
103,Charlie,Brown,11/15/2024,8.2
104,David,Wilson,11/15/2024,6.1
105,Emma,Davis,11/15/2024,4.5
104,David,Wilson,11/16/2024,8.7
105,Emma,Davis,11/16/2024,8.9
102,Bob,Smith,11/17/2024,5.1
105,Emma,Davis,11/17/2024,5.1
101,Alice,Johnson,11/18/2024,8.5
102,Bob,Smith,11/18/2024,8.8
103,Charlie,Brown,11/18/2024,6.4
104,David,Wilson,11/18/2024,9.4
105,Emma,Davis,11/18/2024,5.6
101,Alice,Johnson,11/19/2024,5.9
102,Bob,Smith,11/19/2024,6.2
103,Charlie,Brown,11/19/2024,5
104,David,Wilson,11/19/2024,4.6
105,Emma,Davis,11/19/2024,7.3
101,Alice,Johnson,11/20/2024,9.7
102,Bob,Smith,11/20/2024,7.4
103,Charlie,Brown,11/20/2024,7.6
104,David,Wilson,11/20/2024,8.5
105,Emma,Davis,11/20/2024,6.7
101,Alice,Johnson,11/21/2024,6.5
102,Bob,Smith,11/21/2024,8.6
103,Charlie,Brown,11/21/2024,7.7
104,David,Wilson,11/21/2024,9.6
105,Emma,Davis,11/21/2024,4.7
101,Alice,Johnson,11/22/2024,4.8
102,Bob,Smith,11/22/2024,9.1
103,Charlie,Brown,11/22/2024,7.5
104,David,Wilson,11/22/2024,5.4
105,Emma,Davis,11/22/2024,9.1
102,Bob,Smith,11-23-2024,9.2
101,Alice,Johnson,11/24/2024,9.6
102,Bob,Smith,11/24/2024,5.2
103,Charlie,Brown,11/24/2024,7.8
101,Alice,Johnson,11/25/2024,5.1
102,Bob,Smith,11/25/2024,6.6
103,Charlie,Brown,11/25/2024,5.1
104,David,Wilson,11/25/2024,7.5
105,Emma,Davis,11/25/2024,4.8
101,Alice,Johnson,11/26/2024,9.6
102,Bob,Smith,11/26/2024,4.4
103,Charlie,Brown,11/26/2024,7.7
104,David,Wilson,11/26/2024,8
105,Emma,Davis,11/26/2024,6.3
101,Alice,Johnson,11/27/2024,9.6
102,Bob,Smith,11/27/2024,6.1
103,Charlie,Brown,11/27/2024,9
104,David,Wilson,11/27/2024,9.2
105,Emma,Davis,11/27/2024,4.6
101,Alice,Johnson,11/28/2024,8.4
102,Bob,Smith,11/28/2024,8.2
103,Charlie,Brown,11/28/2024,9.6
104,David,Wilson,11/28/2024,9.9
105,Emma,Davis,11/28/2024,7.7
101,Alice,Johnson,11/29/2025,6.5
102,Bob,Smith,11/29/2024,7.7
103,Charlie,Brown,11/29/2024,7.5
104,David,Wilson,11/29/2024,9.8
105,Emma,Davis,11/29/2024,4.4
101,Alice,Johnson,12/02/2024,10
102,Bob,Smith,12/02/2025,7.4
103,Charlie,Brown,12/02/2024,7.5
104,David,Wilson,12/02/2024,9.6
105,Emma,Davis,12/02/2024,5.4
101,Alice,Johnson,12/03/2024,5.3
102,Bob,Smith,12/03/2024,8.5
103,Charlie,Brown,12/03/2024,5.5
104,David,Wilson,12/03/2023,8.2
105,Emma,Davis,12/03/2024,4.7
101,Alice,Johnson,12/04/2024,6
102,Bob,Smith,12/04/2024,8.9
103,Charlie,Brown,12/04/2024,7.4
104,David,Wilson,12/04/2024,4.4
105,Emma,Davis,12/04/2024,6
101,Alice,Johnson,12/05/2023,6
102,Bob,Smith,12/05/2024,6.5
103,Charlie,Brown,12/05/2024,5.8
104,David,Wilson,12/05/2024,9.3
105,Emma,Davis,12/05/2024,5.9
101,Alice,Johnson,12/06/2024,7
102,Bob,Smith,12/06/2023,9.2
103,Charlie,Brown,12/06/2024,9.6
104,David,Wilson,12/06/2024,9.9
105,Emma,Davis,12/06/2024,6.2
101,Alice,Johnson,12/07/2024,9.4
103,Charlie,Brown,12/07/2024,6.8
103,Charlie,Brown,12/08/2023,8.1
104,David,Wilson,12/08/2024,4.3
101,Alice,Johnson,12/09/2024,4
102,Bob,Smith,12/09/2024,9.9
103,Charlie,Brown,12/09/2024,5.3
104,David,Wilson,12/09/2024,7.8
105,Emma,Davis,12/09/2024,7.5
101,Alice,Johnson,12/10/2024,6.5
102,Bob,Smith,12/10/2024,8.9
103,Charlie,Brown,12/10/2024,6
104,David,Wilson,12/10/2024,7.6
105,Emma,Davis,12/10/2024,5.1
101,Alice,Johnson,12/11/2024,8.1
102,Bob,Smith,12/11/2024,9.9
103,Charlie,Brown,12/11/2025,5.9
104,David,Wilson,12/11/2024,7.1
105,Emma,Davis,12/11/2024,6.7
101,Alice,Johnson,12/12/2024,8.8
102,Bob,Smith,12/12/2024,4.5
103,Charlie,Brown,12/12/2024,5.1
104,David,Wilson,12/12/2024,9
105,Emma,Davis,12/12/2024,4
101,Alice,Johnson,12/13/2024,7.6
102,Bob,Smith,12/13/2024,9
103,Charlie,Brown,12/13/2024,8.1
104,David,Wilson,12/13/2024,9.7
105,Emma,Davis,12/13/2024,5.7
102,Bob,Smith,12/15/2024,8.8
103,Charlie,Brown,12/15/2024,8.2
105,Emma,Davis,12/15/2024,7
101,Alice,Johnson,12/16/2024,five
102,Bob,Smith,12/16/2024,5.7
103,Charlie,Brown,12/16/2024,8
104,David,Wilson,12/16/2024,6.8
105,Emma,Davis,12/16/2024,7.1
101,Alice,Johnson,12/17/2024,8.8
102,Bob,Smith,12/17/2024,7.8
103,Charlie,Brown,12/17/2024,6.3
104,David,Wilson,12/17/2024,6
105,Emma,Davis,12/17/2024,4.1
101,Alice,Johnson,12/18/2024,5
102,Bob,Smith,12/18/2024,4.8
103,Charlie,Brown,12/18/2024,8.6
104,David,Wilson,12/18/2024,9.7
